i_b,function_name,mse,parameters
1.3524,Gaussian Mixture,2.611576928757131e-05,"[4.460299509680541, -1.7921979947541138, 3.0542445199794885, 0.6258305361534328, 0.3269684127136769, 0.02795144278218637, 106.72314709472433, 0.3498002444622292, 0.4125851135076629, -4.1807576234769686, -0.9975266453247964]"
1.3524,Sigmoid Mixture,0.00010732796363299713,"[-70.60564561244922, -9688.618621181557, -4118.806471300901, -911.9325989904091, 0.27789435840376925, -0.012212275231732513, 0.1813238658819845, -2.0585589384884964, -7.0138302306529425, 4.907408069662413]"
1.4024,Gaussian Mixture,4.461283242562786e-05,"[0.23633636042572131, 0.4329573305672385, 0.5274275942759266, 0.4728567376809812, 0.10648905737478354, -0.7240984110678117, 305.07584666656726, 0.3621496465331323, -0.012603499364985674, -0.07217150512475295, 0.0065347957776714875]"
1.4024,Sigmoid Mixture,0.00016440147010143846,"[-104.63247251560725, -9851.139996881288, -4850.961381410709, -469.06152059010003, 0.1876646655081914, -0.023214940116482063, 0.12047401894163681, 0.7081414051348867, -11.372540784114259, 10.095003113395384]"
1.4524,Gaussian Mixture,6.296709761954844e-05,"[0.25137886689249817, 0.3651828379998965, 0.5284962224153935, 0.4661786958440698, 0.11531208008883588, -0.6005564324269401, 273.1869212713361, 0.34169777835769793, -0.0064335859505047065, -0.021791832604926457, -0.0035639025859069643]"
1.4524,Sigmoid Mixture,0.00018825154984369874,"[-145.599287497432, -13204.775053805184, -4050.1365395735575, -189.74926269772195, 0.2595932364459085, -0.012057006897769482, 0.23058697564474726, -1.8761109409024441, -4.874522863026019, 4.217214164697058]"
1.5024,Gaussian Mixture,7.920687494333833e-05,"[0.45987940757620416, -0.11065312475577993, 0.742932017178216, 0.4594896049522472, 0.12564946756154163, 0.1565995939377978, 242.94532254158622, 0.31899361136400406, -0.025122359477096342, -0.023599731109540025, -0.005880585236135202]"
1.5024,Sigmoid Mixture,0.000294845289317891,"[-86.93521349954027, -7419.785575373103, -3569.480364808579, -113.90717723340745, 0.11299204982335008, -0.03552634685872461, 0.1435669461413282, 0.8771884565507981, -7.505282160925001, 7.7048111119260625]"
1.5524,Gaussian Mixture,0.00010072518489323556,"[0.2832628713549429, 0.39395822263185254, 0.5423647287803943, 0.45346499578734134, 0.1366489996910677, -0.6009648978779527, 207.05165257107956, 0.29705507564199746, -0.03581241654828238, -0.011234431133438005, 0.00416935369682308]"
1.5524,Sigmoid Mixture,0.0003704465052578598,"[-70.2141018436053, -6560.916374895087, -3207.2653098543224, -340.7082918886073, -0.0019465235818238251, -0.045164653630047354, 0.1376646433055384, 0.7181994550142896, -2.548353736675633, 5.224404832233802]"
1.6024,Gaussian Mixture,0.00012529177183751017,"[0.3158606660970532, 0.32668368201637044, 0.5436651973485398, 0.45035448464336125, 0.1527068884683423, -0.49963575064788346, 159.7918651860183, 0.2743120583969909, -0.00919882323678511, -0.023942082886224417, -0.0046460014968902116]"
1.6024,Sigmoid Mixture,0.0004673506773542613,"[-103.00789341522012, -9181.177564959404, -5481.609730258029, -76.97852481348998, 0.09779561501801143, -0.030034903588725688, 0.6217390707009669, -0.8967021621088895, -5.534921785560217, 16.063324133642332]"
